representante,label,respuesta
Raphael,neutral,me intereza pero nop ez el mejor timing
Raphael,neutral,pongamozlo en ztandby
Leonardo,negativa,eztamoz kon otro proveedor kon kontrato vigente
Raphael,negativa,No estamos buscando alternativas en este momento
Leonardo,neutral,"estoy fuera de oficina, lo retomo luego"
Leonardo,neutral,puede servirnos en otro momento
Leonardo,neutral,respondo rapido: no tengo definiciones aún
Michelangelo,negativa,fw: nop evaluamoz nuevaz zolusionez ezte año
Leonardo,negativa,"nop, gracias!"
Donatello,neutral,Tal vez más adelante en el año.
Michelangelo,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Michelangelo,neutral,tal vez máz adelante en el año.
Michelangelo,negativa,No estoy interesado por el momento
Michelangelo,positiva,Me interesa explorar esto más a fondo.
Donatello,negativa,"npop, grasiaz!"
Michelangelo,positiva,"zuena interezante, me guztaria konopker máz"
Leonardo,positiva,Podemos hacer una reunión la semana próxima.
Leonardo,positiva,"me intereza, kompartime máz info x favor."
Donatello,neutral,"estoy fuera de oficina, lo retomo luego"
Donatello,neutral,hola! puede que más adelante sirva
Raphael,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Donatello,negativa,"npo ez konmigo, pero grakiaz"
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Raphael,positiva,"zuena interezante, me guztaria konopker máz"
Leonardo,positiva,"RE: Me interesa la solución, avancen con demo"
Raphael,positiva,"me intereza, kompartime máz info x favor."
Leonardo,positiva,"Me interesa, compartime más info por favor."
Raphael,negativa,npo aplisa para nueztra operasión astual
Donatello,positiva,"ia lo hablé internamente, kieren avanzar"
Leonardo,negativa,"Gracias por escribir, pero estamos bien así"
Raphael,negativa,fw: nop evaluamoz nuevaz zolusionez ezte año
Michelangelo,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Donatello,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Donatello,positiva,"dale, zigamoz la sonverzasión"
Leonardo,negativa,npo grakiaz
Donatello,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Raphael,neutral,eztamoz en medio de otra implementasión
Donatello,positiva,"suena interesante, me gustaria conocer más"
Donatello,positiva,Estoy interesado en avanzar con una demo.
Donatello,positiva,Podemos agendar algo para la próxima semana.
Leonardo,positiva,"eztoy libre el juevez, ¿lez va bien?"
Donatello,negativa,"Hola, ya usamos algo similar"
Michelangelo,neutral,ez interezante pero npo tengo ankho ahora
Leonardo,negativa,nueztro foso eztá en otra área ezte año
Michelangelo,positiva,Podemos agendar algo para la próxima semana.
Raphael,negativa,Nuestro foco está en otra área este año
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,negativa,FW: no evaluamos nuevas soluciones este año
Raphael,positiva,"ezto npoz intereza, ¿tienen sazoz de uzo?"
Michelangelo,positiva,Estoy interesado en avanzar con una demo.
Leonardo,negativa,"npo ez sonmigo, pero grasiaz"
Donatello,negativa,"no me interesa x ahora, gracias!"
Raphael,positiva,eztoy kk a mi kolega ke ve eztoz temaz
Raphael,negativa,No gracias
Donatello,negativa,"no me interesa x ahora, gracias!"
Donatello,neutral,puede servirnos en otro momento
Michelangelo,negativa,"no es conmigo, pero gracias"
Leonardo,neutral,hola! puede que más adelante sirva
Leonardo,neutral,respondo rapido: no tengo definiciones aún
Michelangelo,positiva,Agendemos algo y lo evaluamos con el equipo.
Leonardo,negativa,fw: npo evaluamoz nuevaz zolusionez ezte año
Michelangelo,neutral,rezpondo rapido: nop tengo definisionez aún
Leonardo,neutral,hablalo con mi colega (lo estoy cc)
Leonardo,positiva,"zuena interezante, me guztaria konpoker máz"
Leonardo,neutral,es interesante pero no tengo ancho ahora
Donatello,negativa,"no me interesa x ahora, gracias!"
Raphael,positiva,"me intereza, sompartime máz info x favor."
Donatello,negativa,estamos con otro proveedor con contrato vigente
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Raphael,positiva,me intereza explorar ezto máz a fondo.
Raphael,negativa,No estoy interesado por el momento
Michelangelo,positiva,"dale, zigamoz la sonverzasión"
Donatello,neutral,puede servirnos en otro momento
Donatello,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Michelangelo,positiva,eztoy interezado en avanzar kon una dm.
Leonardo,neutral,ahora eztamoz full kon otraz prioridadez
Leonardo,negativa,No gracias
Donatello,negativa,eztamoz kon otro proveedor kon kontrato vigente
Raphael,negativa,npo
Donatello,negativa,No gracias
Donatello,positiva,"Estoy libre el jueves, ¿les va bien?"
Raphael,positiva,"Estoy libre el jueves, ¿les va bien?"
Raphael,neutral,hablalo con mi colega (lo estoy cc)
Michelangelo,negativa,No
Leonardo,positiva,"Estoy libre el jueves, ¿les va bien?"
Leonardo,negativa,FW: no evaluamos nuevas soluciones este año
Donatello,neutral,me intereza pero nop ez el mejor timing
Leonardo,positiva,eztoy ss a mi solega ke ve eztoz temaz
Leonardo,neutral,tal vez máz adelante en el año.
Leonardo,positiva,"hola, grakiaz x ezkribirme. zí, me intereza."
Leonardo,neutral,sontastame máz adelante
Raphael,neutral,lo veo bien pero nop dekido yo
Leonardo,neutral,lo veo bien pero nop dekido yo
Donatello,positiva,"sí, me parece relevante para lo que buscamos"
Donatello,positiva,"zuena interezante, me guztaria konpoker máz"
Michelangelo,positiva,"dale, sigamos la conversación"
Donatello,negativa,npo eztoy interezado x el momento
Raphael,neutral,es interesante pero no tengo ancho ahora
Donatello,neutral,FW: para revisión en planning de fin de año
Leonardo,neutral,hola! puede que más adelante sirva
Michelangelo,negativa,lo analizamos y no es lo que buscamos
Donatello,positiva,"suena interesante, me gustaria conocer más"
Donatello,negativa,FW: no evaluamos nuevas soluciones este año
Raphael,neutral,revizalo kon el área de operakionez mejor
Donatello,neutral,estamos en medio de otra implementación
Raphael,positiva,"ya lo hablé internamente, quieren avanzar"
Leonardo,positiva,Podemos hacer una reunión la semana próxima.
Leonardo,neutral,hablalo con mi colega (lo estoy cc)
Leonardo,negativa,"pazo, grasiaz"
Leonardo,positiva,"zí, pazame link para agendaar."
Raphael,negativa,grcs pero no nos sirve
Leonardo,positiva,podemostracionz agendaar algo para la próxima zemana.
Leonardo,positiva,Estoy interesado en avanzar con una demo.
Donatello,positiva,"rezpondo dezde el selu, agenden y lo veo"
Donatello,positiva,"dale, soordinemoz una llamada para verlo."
Leonardo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Michelangelo,negativa,lla tenemoz proveedor
Donatello,neutral,hola! puede ke máz adelante zirva
Raphael,positiva,"Dale, coordinemos una llamada para verlo."
Michelangelo,neutral,Tal vez más adelante en el año.
Leonardo,negativa,fw: nop evaluamoz nuevaz zolukionez ezte año
Raphael,positiva,me intereza explorar ezto máz a fondo.
Leonardo,neutral,FW: para revisión en planning de fin de año
Donatello,negativa,Ya tenemos proveedor
Raphael,neutral,revizalo kon el área de operakionez mejor
Raphael,neutral,hablalo son mi solega (lo eztoy ss)
Leonardo,positiva,Agendemos algo y lo evaluamos con el equipo.
Raphael,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Donatello,negativa,No gracias
Raphael,positiva,"Dale, coordinemos una llamada para verlo."
Donatello,negativa,"Gracias por escribir, pero estamos bien así"
Donatello,negativa,No estoy interesado por el momento
Leonardo,negativa,"hola, lla uzamoz algo zimilar"
Raphael,positiva,"ezto nopz intereza, ¿tienen sazoz de uzo?"
Raphael,positiva,me intereza explorar ezto máz a fondo.
Leonardo,negativa,grkz pero npo npoz zirve
Donatello,negativa,No gracias
Leonardo,positiva,"Me interesa, compartime más info por favor."
Leonardo,negativa,grsz pero npo npoz zirve
Raphael,positiva,"me intereza, kompartime máz info x favor."
Raphael,negativa,No gracias
Raphael,negativa,"nop, gracias!"
Michelangelo,negativa,"nop, gracias!"
Leonardo,negativa,nop aplika para nueztra operakión aktual
Michelangelo,positiva,"respondo desde el celu, agenden y lo veo"
Leonardo,positiva,podemostracionz haker una reunión la zemana próxima.
Donatello,positiva,"sí, me parece relevante para lo que buscamos"
Michelangelo,positiva,"rezpondo dezde el kelu, agenden y lo veo"
Donatello,positiva,"Sí, pasame link para agendar."
Leonardo,neutral,FW: para revisión en planning de fin de año
Donatello,negativa,"grkz, npo eztoy evaluando ezto"
Leonardo,negativa,"grakiaz, pero npo me intereza el zervikio x ahora."
Leonardo,negativa,"Hola, ya usamos algo similar"
Leonardo,neutral,me interesa pero no es el mejor timing
Raphael,neutral,"estoy fuera de oficina, lo retomo luego"
Michelangelo,neutral,hablalo kon mi kolega (lo eztoy kk)
Raphael,neutral,tal vez máz adelante en el año.
Donatello,neutral,aun no hay proyecto
Leonardo,neutral,pongamoslo en standby
Michelangelo,neutral,estamos enfocados en otro tipo de soluciones
Michelangelo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Leonardo,neutral,"Gracias, lo tengo en el radar para el futuro"
Michelangelo,positiva,"re: me intereza la zolukión, avanken kon demostracion"
Donatello,negativa,FW: no evaluamos nuevas soluciones este año
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,neutral,contactame más adelante
Leonardo,positiva,"Me interesa, compartime más info por favor."
Donatello,positiva,"re: me intereza la zolukión, avanken kon dm"
Raphael,neutral,me intereza pero npo ez el mejor timing
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Leonardo,negativa,eztamoz kon otro proveedor kon kontrato vigente
Michelangelo,negativa,lo analizamos y no es lo que buscamos
Donatello,positiva,"me intereza, sompartime máz info x favor."
Raphael,negativa,npo eztoy interezado x el momento
Raphael,negativa,Ya tenemos proveedor
Leonardo,negativa,eztamoz kon otro proveedor kon kontrato vigente
Leonardo,positiva,Podemos agendar algo para la próxima semana.
Leonardo,positiva,agendemostracionz algo y lo evaluamoz son el ekipo.
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Donatello,positiva,"dale, soordinemoz una llamada para verlo."
Michelangelo,neutral,lo veo bien pero npo desido yo
Michelangelo,negativa,Ya tenemos proveedor
Raphael,positiva,"Estoy libre el jueves, ¿les va bien?"
Raphael,neutral,lo vemoz en q3 probablemente
Donatello,positiva,"RE: Me interesa la solución, avancen con demo"
Leonardo,neutral,contactame más adelante
Leonardo,neutral,ez interezante pero npo tengo ankho ahora
Donatello,positiva,"si dale, agendemos 😊"
Raphael,neutral,me interesa pero no es el mejor timing
Raphael,positiva,"ezto nopz intereza, ¿tienen kazoz de uzo?"
Leonardo,positiva,"eztoy libre el juevez, ¿lez va bien?"
Leonardo,neutral,es interesante pero no tengo ancho ahora
Raphael,positiva,"si dale, agendemos 😊"
Leonardo,negativa,nop
Donatello,neutral,contactame más adelante
Raphael,negativa,eztamoz son otro proveedor son sontrato vigente
Leonardo,neutral,fw: para revizión en planning de fin de año
Michelangelo,positiva,"zi dale, agendmz 😊"
Donatello,neutral,aun no hay proyecto
Michelangelo,positiva,Agendemos algo y lo evaluamos con el equipo.
Raphael,negativa,"nop, gracias!"
Raphael,neutral,aun nop hay proyekto
Donatello,positiva,Estoy interesado en avanzar con una demo.
Michelangelo,positiva,Podemos hacer una reunión la semana próxima.
Donatello,positiva,"lla lo hablé internamente, kieren avanzar"
Michelangelo,neutral,ahora estamos full con otras prioridades
Donatello,neutral,es interesante pero no tengo ancho ahora
Michelangelo,positiva,Agendemos algo y lo evaluamos con el equipo.
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Leonardo,positiva,"Sí, pasame link para agendar."
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Michelangelo,negativa,No estamos buscando alternativas en este momento
Leonardo,negativa,No
Michelangelo,neutral,revizalo kon el área de operakionez mejor
Leonardo,positiva,podemostracionz agndar algo para la próxima zemana.
Michelangelo,negativa,"grcs, no estoy evaluando esto"
Donatello,negativa,No estoy interesado por el momento
Raphael,positiva,"zí, me parese relevante para lo ke buzsamoz"
Leonardo,positiva,"hola, grakiaz x ezkribirme. zí, me intereza."
Raphael,negativa,eztamoz son otro proveedor son sontrato vigente
Leonardo,negativa,nop grakiaz
Raphael,negativa,"no me interesa x ahora, gracias!"
Donatello,neutral,"Gracias, lo tengo en el radar para el futuro"
Leonardo,positiva,podmz haker una reunión la zemana próxima.
Leonardo,neutral,pongamozlo en ztandby
Donatello,negativa,no lo vemos prioritario
Raphael,positiva,me intereza explorar ezto máz a fondo.
Leonardo,positiva,"dale, zigamoz la konverzakión"
Donatello,negativa,"Paso, gracias"
Michelangelo,negativa,no aplica para nuestra operación actual
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Raphael,positiva,"hola, grakiaz x ezkribirme. zí, me intereza."
Raphael,negativa,nop eztoy interezado x el momento
Michelangelo,neutral,lo vemoz en q3 probablemente
Michelangelo,negativa,"Gracias por escribir, pero estamos bien así"
Leonardo,neutral,"Gracias, lo tengo en el radar para el futuro"
Michelangelo,positiva,"dale, sigamos la conversación"
Donatello,neutral,rezpondo rapido: npo tengo definikionez aún
Michelangelo,neutral,"Gracias, lo tengo en el radar para el futuro"
Leonardo,negativa,nueztro foko eztá en otra área ezte año
Donatello,positiva,"respondo desde el celu, agenden y lo veo"
Leonardo,positiva,"ezto nopz intereza, ¿tienen sazoz de uzo?"
Raphael,neutral,está bueno pero no es urgente
Leonardo,neutral,FW: para revisión en planning de fin de año
Donatello,neutral,está bueno pero no es urgente
Donatello,negativa,no aplica para nuestra operación actual
Leonardo,negativa,"grsz, nop eztoy evaluando ezto"
Michelangelo,positiva,"suena interesante, me gustaria conocer más"
Michelangelo,negativa,"npo me intereza x ahora, grasiaz!"
Donatello,negativa,No
Raphael,positiva,"zuena interezante, me guztaria sonopser máz"
Leonardo,neutral,revisalo con el área de operaciones mejor
Leonardo,negativa,"grakiaz x ezkribir, pero eztamoz bien azí"
Michelangelo,neutral,contactame más adelante
Leonardo,neutral,fw: para revizión en planning de fin de año
Donatello,positiva,podemostracionz haser una reunión la zemana próxima.
Michelangelo,negativa,"npo me intereza x ahora, grasiaz!"
Donatello,negativa,"Gracias por escribir, pero estamos bien así"
Michelangelo,positiva,"Me interesa, compartime más info por favor."
Leonardo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Donatello,neutral,"grakiaz, lo tengo en el radar para el futuro"
Donatello,negativa,lo analizamos y no es lo que buscamos
Donatello,neutral,hablalo con mi colega (lo estoy cc)
Donatello,positiva,"suena interesante, me gustaria conocer más"
Donatello,negativa,nop
Leonardo,positiva,"RE: Me interesa la solución, avancen con demo"
Michelangelo,neutral,me interesa pero no es el mejor timing
Donatello,neutral,fw: para revizión en planning de fin de año
Michelangelo,positiva,"sí, me parece relevante para lo que buscamos"
Leonardo,neutral,lo veo bien pero no decido yo
Donatello,positiva,agendemostracionz algo y lo evaluamoz kon el ekipo.
Leonardo,neutral,"Gracias, lo tengo en el radar para el futuro"
Raphael,negativa,"Hola, ya usamos algo similar"
Donatello,negativa,"no es conmigo, pero gracias"
Raphael,negativa,No estamos buscando alternativas en este momento
Michelangelo,negativa,grcs pero no nos sirve
Donatello,negativa,"Hola, ya usamos algo similar"
Donatello,negativa,"Gracias, pero no me interesa el servicio por ahora."
Donatello,neutral,"grakiaz, lo tengo en el radar para el futuro"
Donatello,neutral,"grakiaz, lo tengo en el radar para el futuro"
Raphael,positiva,"me intereza, kompartime máz info x favor."
Leonardo,negativa,"Paso, gracias"
Donatello,neutral,lo veo bien pero npo desido yo
Leonardo,neutral,"Gracias, lo tengo en el radar para el futuro"
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Leonardo,negativa,grsz pero npo npoz zirve
Leonardo,neutral,ahora estamos full con otras prioridades
Donatello,positiva,"si dale, agendemos 😊"
Michelangelo,negativa,Nuestro foco está en otra área este año
Leonardo,negativa,"grasiaz x ezsribir, pero eztamoz bien azí"
Leonardo,neutral,respondo rapido: no tengo definiciones aún
Michelangelo,neutral,contactame más adelante
Leonardo,positiva,"Sí, pasame link para agendar."
Donatello,neutral,Tal vez más adelante en el año.
Michelangelo,negativa,"grsz, nop eztoy evaluando ezto"
Michelangelo,positiva,podmz haker una reunión la zemana próxima.
Leonardo,positiva,"Dale, coordinemos una llamada para verlo."
Leonardo,neutral,puede servirnos en otro momento
Michelangelo,neutral,revisalo con el área de operaciones mejor
Donatello,positiva,podemostracionz haser una reunión la zemana próxima.
Donatello,negativa,lo analizamos y no es lo que buscamos
Raphael,positiva,me intereza explorar ezto máz a fondo.
Donatello,negativa,No gracias
Donatello,neutral,fw: para revizión en planning de fin de año
Donatello,negativa,"no es conmigo, pero gracias"
Michelangelo,negativa,no lo vemos prioritario
Raphael,positiva,"dale, soordinemoz una llamada para verlo."
Raphael,positiva,"dale, zigamoz la sonverzasión"
Raphael,negativa,grcs pero no nos sirve
Leonardo,neutral,me intereza pero nop ez el mejor timing
Michelangelo,neutral,aun npo hay proyesto
Raphael,positiva,"Estoy libre el jueves, ¿les va bien?"
Donatello,positiva,"respondo desde el celu, agenden y lo veo"
Leonardo,positiva,eztoy interezado en avanzar son una dm.
Donatello,negativa,No estamos buscando alternativas en este momento
Donatello,positiva,"RE: Me interesa la solución, avancen con demo"
Donatello,neutral,Tal vez más adelante en el año.
Michelangelo,negativa,No
Leonardo,positiva,eztoy ss a mi solega ke ve eztoz temaz
Donatello,neutral,lo veo bien pero npo desido yo
Donatello,positiva,"eztoy libre el juevez, ¿lez va bien?"
Donatello,negativa,"grakiaz x ezkribir, pero eztamoz bien azí"
Raphael,neutral,lo veo bien pero no decido yo
Donatello,neutral,revisalo con el área de operaciones mejor
Michelangelo,neutral,hola! puede que más adelante sirva
Donatello,negativa,"Gracias, pero no me interesa el servicio por ahora."
Leonardo,neutral,FW: para revisión en planning de fin de año
Michelangelo,neutral,contactame más adelante
Leonardo,neutral,ahora estamos full con otras prioridades
Michelangelo,negativa,No
Donatello,positiva,"me intereza, kompartime máz info x favor."
Leonardo,negativa,Ya tenemos proveedor
Donatello,negativa,nop eztoy interezado x el momento
Michelangelo,negativa,npo aplika para nueztra operakión aktual
Michelangelo,neutral,lo veo bien pero no decido yo
Leonardo,negativa,lla tenemoz proveedor
Leonardo,negativa,no aplica para nuestra operación actual
Donatello,positiva,"zuena interezante, me guztaria konopker máz"
Michelangelo,negativa,"hola, ia uzamoz algo zimilar"
Michelangelo,neutral,kontaktame máz adelante
Donatello,positiva,"me intereza, sompartime máz info x favor."
Raphael,positiva,"ya lo hablé internamente, quieren avanzar"
Michelangelo,positiva,"RE: Me interesa la solución, avancen con demo"
Donatello,negativa,"no es conmigo, pero gracias"
Leonardo,negativa,nop eztamoz buzkando alternativaz en ezte momento
Donatello,neutral,Tal vez más adelante en el año.
Leonardo,positiva,"zí, pazame link para agndar."
Michelangelo,neutral,me intereza pero npo ez el mejor timing
Raphael,negativa,Nuestro foco está en otra área este año
Raphael,positiva,"Me interesa, compartime más info por favor."
Michelangelo,negativa,npo lo vemoz prioritario
Leonardo,negativa,"grcs, no estoy evaluando esto"
Leonardo,negativa,"Paso, gracias"
Michelangelo,neutral,lo vemoz en q3 probablemente
Michelangelo,positiva,Podemos agendar algo para la próxima semana.
Raphael,negativa,no lo vemos prioritario
Raphael,negativa,nop grasiaz
Raphael,positiva,"zí, me pareke relevante para lo ke buzkamoz"
Michelangelo,positiva,"dale, sigamos la conversación"
Raphael,neutral,estamos en medio de otra implementación
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Michelangelo,negativa,"hola, lla uzamoz algo zimilar"
Michelangelo,neutral,"eztoy fuera de ofikina, lo retomo luego"
Donatello,neutral,puede servirnos en otro momento
Raphael,neutral,kontaktame máz adelante
Raphael,neutral,respondo rapido: no tengo definiciones aún
Raphael,neutral,pongamozlo en ztandby
Leonardo,neutral,me intereza pero npo ez el mejor timing
Leonardo,negativa,eztamoz kon otro proveedor kon kontrato vigente
Donatello,negativa,"Gracias, pero no me interesa el servicio por ahora."
Michelangelo,neutral,"grakiaz, lo tengo en el radar para el futuro"
Michelangelo,neutral,ez interezante pero npo tengo ansho ahora
Donatello,negativa,"grasiaz, pero npo me intereza el zervisio x ahora."
Michelangelo,positiva,"ya lo hablé internamente, quieren avanzar"
Donatello,positiva,"me intereza, sompartime máz info x favor."
Raphael,negativa,Ya tenemos proveedor
Leonardo,negativa,"Paso, gracias"
Michelangelo,positiva,"zí, me pareke relevante para lo ke buzkamoz"
Donatello,positiva,"ezto nopz intereza, ¿tienen sazoz de uzo?"
Michelangelo,neutral,"grakiaz, lo tengo en el radar para el futuro"
Leonardo,neutral,ez interezante pero npo tengo ankho ahora
Leonardo,negativa,No estoy interesado por el momento
Donatello,neutral,hablalo con mi colega (lo estoy cc)
Leonardo,neutral,lo veo bien pero no decido yo
Donatello,neutral,ahora estamos full con otras prioridades
Leonardo,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Michelangelo,negativa,Ya tenemos proveedor
Donatello,negativa,"Hola, ya usamos algo similar"
Michelangelo,positiva,"rezpondo dezde el selu, agenden y lo veo"
Leonardo,positiva,"zí, pazame link para agendaar."
Leonardo,neutral,revisalo con el área de operaciones mejor
Raphael,neutral,pongamoslo en standby
Leonardo,negativa,"grasiaz, pero npo me intereza el zervisio x ahora."
Donatello,neutral,eztá buenpo pero npo ez urgente
Donatello,neutral,es interesante pero no tengo ancho ahora
Donatello,positiva,"dale, sigamos la conversación"
Raphael,positiva,"RE: Me interesa la solución, avancen con demo"
Donatello,neutral,estamos enfocados en otro tipo de soluciones
Michelangelo,positiva,"RE: Me interesa la solución, avancen con demo"
Raphael,neutral,me interesa pero no es el mejor timing
Michelangelo,neutral,es interesante pero no tengo ancho ahora
Donatello,neutral,eztá buenop pero nop ez urgente
Leonardo,negativa,"Gracias por escribir, pero estamos bien así"
Donatello,negativa,"Paso, gracias"
Leonardo,positiva,"suena interesante, me gustaria conocer más"
Leonardo,positiva,"zuena interezante, me guztaria sonposer máz"
Leonardo,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Donatello,neutral,ahora eztamoz full kon otraz prioridadez
Leonardo,positiva,podmz agndar algo para la próxima zemana.
Leonardo,positiva,Me interesa explorar esto más a fondo.
Donatello,neutral,es interesante pero no tengo ancho ahora
Donatello,negativa,"Gracias por escribir, pero estamos bien así"
Raphael,neutral,estamos en medio de otra implementación
Donatello,neutral,es interesante pero no tengo ancho ahora
Michelangelo,neutral,pongamoslo en standby
Donatello,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Raphael,negativa,lo analizamoz y npo ez lo ke buzkamoz
Michelangelo,neutral,eztamoz en medio de otra implementasión
Donatello,negativa,"Paso, gracias"
Michelangelo,negativa,"Paso, gracias"
Donatello,negativa,No
Michelangelo,positiva,"hola, grakiaz x ezkribirme. zí, me intereza."
Michelangelo,negativa,"no es conmigo, pero gracias"
Donatello,neutral,lo vemoz en q3 probablemente
Donatello,neutral,lo vemos en Q3 probablemente
Leonardo,negativa,No gracias
Raphael,neutral,fw: para revizión en planning de fin de año
Donatello,negativa,"npop, grakiaz!"
Leonardo,neutral,estamos enfocados en otro tipo de soluciones
Michelangelo,positiva,"RE: Me interesa la solución, avancen con demo"
Leonardo,negativa,"no es conmigo, pero gracias"
Donatello,positiva,"suena interesante, me gustaria conocer más"
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Raphael,negativa,"no es conmigo, pero gracias"
Donatello,negativa,Ya tenemos proveedor
Raphael,negativa,"grakiaz x ezkribir, pero eztamoz bien azí"
Donatello,positiva,Podemos agendar algo para la próxima semana.
Michelangelo,positiva,estoy cc a mi colega que ve estos temas
Michelangelo,neutral,hola! puede ke máz adelante zirva
Raphael,negativa,Nuestro foco está en otra área este año
Leonardo,neutral,eztamoz en medio de otra implementakión
Donatello,positiva,estoy cc a mi colega que ve estos temas
Michelangelo,positiva,eztoy ss a mi solega ke ve eztoz temaz
Michelangelo,negativa,No estoy interesado por el momento
Raphael,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Leonardo,negativa,No estamos buscando alternativas en este momento
Raphael,negativa,Nuestro foco está en otra área este año
Michelangelo,negativa,"no me interesa x ahora, gracias!"
Raphael,negativa,"grakiaz x ezkribir, pero eztamoz bien azí"
Donatello,positiva,"zí, reunámonopz. ¿tienen dizponibilidad ezta zemana?"
Leonardo,negativa,"nop, gracias!"
Donatello,neutral,aun no hay proyecto
Leonardo,neutral,hola! puede que más adelante sirva
Raphael,neutral,"eztoy fuera de ofisina, lo retomo luego"
Donatello,positiva,"re: me intereza la zolusión, avansen son dm"
Donatello,neutral,eztá buenop pero nop ez urgente
Michelangelo,negativa,"no me interesa x ahora, gracias!"
Leonardo,neutral,estamos en medio de otra implementación
Leonardo,negativa,"nop me intereza x ahora, grakiaz!"
Michelangelo,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Donatello,positiva,"RE: Me interesa la solución, avancen con demo"
Donatello,neutral,contactame más adelante
Leonardo,neutral,sontastame máz adelante
Leonardo,neutral,estamos enfocados en otro tipo de soluciones
Leonardo,negativa,lo analizamos y no es lo que buscamos
Raphael,negativa,no lo vemos prioritario
Michelangelo,positiva,Podemos agendar algo para la próxima semana.
Donatello,negativa,no aplica para nuestra operación actual
Donatello,neutral,"Gracias, lo tengo en el radar para el futuro"
Raphael,negativa,Ya tenemos proveedor
Michelangelo,neutral,estamos en medio de otra implementación
Michelangelo,positiva,"zí, reunámonopz. ¿tienen dizponibilidad ezta zemana?"
Leonardo,neutral,estamos en medio de otra implementación
Raphael,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Leonardo,positiva,"Me interesa, compartime más info por favor."
Donatello,neutral,"Gracias, lo tengo en el radar para el futuro"
Raphael,neutral,"Gracias, lo tengo en el radar para el futuro"
Raphael,neutral,me interesa pero no es el mejor timing
Raphael,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Leonardo,neutral,eztamoz enfosadoz en otro tipo de zolusionez
Leonardo,negativa,Nuestro foco está en otra área este año
Michelangelo,positiva,"me intereza, sompartime máz info x favor."
Donatello,positiva,"RE: Me interesa la solución, avancen con demo"
Donatello,positiva,me intereza explorar ezto máz a fondo.
Michelangelo,positiva,eztoy ss a mi solega ke ve eztoz temaz
Leonardo,positiva,"dale, zigamoz la sonverzasión"
Raphael,neutral,revisalo con el área de operaciones mejor
Donatello,negativa,fw: npo evaluamoz nuevaz zolukionez ezte año
Leonardo,positiva,"dale, sigamos la conversación"
Raphael,negativa,ia tenemoz proveedor
Michelangelo,negativa,"nop, gracias!"
Donatello,negativa,"nop me intereza x ahora, grakiaz!"
Michelangelo,negativa,grcs pero no nos sirve
Donatello,positiva,"me intereza, sompartime máz info x favor."
Donatello,negativa,"Hola, ya usamos algo similar"
Michelangelo,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,negativa,No estamos buscando alternativas en este momento
Raphael,neutral,es interesante pero no tengo ancho ahora
Michelangelo,negativa,"nop, gracias!"
Donatello,positiva,"hola, grakiaz x ezkribirme. zí, me intereza."
Raphael,negativa,nop aplisa para nueztra operasión astual
Leonardo,neutral,lo vemos en Q3 probablemente
Leonardo,positiva,"rezpondo dezde el kelu, agenden y lo veo"
Michelangelo,negativa,No estoy interesado por el momento
Donatello,negativa,"grsz, npo eztoy evaluando ezto"
Donatello,neutral,es interesante pero no tengo ancho ahora
Leonardo,neutral,aun no hay proyecto
Michelangelo,negativa,FW: no evaluamos nuevas soluciones este año
Donatello,neutral,hola! puede ke máz adelante zirva
Leonardo,neutral,hola! puede que más adelante sirva
Donatello,negativa,ia tenemoz proveedor
Michelangelo,positiva,Estoy interesado en avanzar con una demo.
Raphael,neutral,Tal vez más adelante en el año.
Leonardo,negativa,lo analizamos y no es lo que buscamos
Michelangelo,positiva,estoy cc a mi colega que ve estos temas
Raphael,positiva,"respondo desde el celu, agenden y lo veo"
Raphael,positiva,"zi dale, agendemostracionz 😊"
Leonardo,negativa,lo analizamos y no es lo que buscamos
